str_code,spu_code,sub_cate_name,category_type,cluster_id,current_spu_count,target_spu_count,eligibility_status,excess_quantity,is_overcapacity,potential_reduction,max_reduction,constrained_reduction,step7_increase,step8_increase,step9_increase,reduction_allowed,reduction_gate_reason,is_core_subcategory,recommended_quantity_change,rule10_applied,rule10_reason
S01001,SPU_棉服_0001,棉服,winter,2,7.33991780504304,6.311249197428925,INELIGIBLE,1.0286686076141152,True,1.0286686076141152,2.935967122017216,1.0286686076141152,False,False,False,True,ELIGIBLE: No prior increases,False,-1.0286686076141152,True,Overcapacity reduction: -1.0 units (excess: 1.0)
S01003,SPU_夹克_0003,夹克,transition,4,19.078290635236254,17.125884531081393,INELIGIBLE,1.9524061041548606,True,1.9524061041548606,7.631316254094502,1.9524061041548606,False,False,False,True,ELIGIBLE: No prior increases,False,-1.9524061041548606,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01005,SPU_T恤_0005,T恤,summer,1,12.871619903875837,7.9031707461598835,ELIGIBLE,4.968449157715954,True,4.968449157715954,5.148647961550335,4.968449157715954,False,False,False,True,ELIGIBLE: No prior increases,False,-4.968449157715954,True,Overcapacity reduction: -5.0 units (excess: 5.0)
S01011,SPU_束脚裤_0011,束脚裤,core,4,12.427653651669052,10.846807895630896,ELIGIBLE,1.5808457560381566,True,1.5808457560381566,2.4855307303338106,1.5808457560381566,False,False,False,True,ELIGIBLE: No prior increases,True,-1.5808457560381566,True,Overcapacity reduction: -1.6 units (excess: 1.6)
S01013,SPU_羽绒服_0013,羽绒服,winter,2,13.515504917299872,11.52447415422158,INELIGIBLE,1.9910307630782924,True,1.9910307630782924,5.406201966919949,1.9910307630782924,False,False,False,True,ELIGIBLE: No prior increases,False,-1.9910307630782924,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01015,SPU_毛呢大_0015,毛呢大衣,winter,4,5.678409333658071,4.069166225060945,INELIGIBLE,1.6092431085971262,True,1.6092431085971262,2.2713637334632284,1.6092431085971262,False,False,False,True,ELIGIBLE: No prior increases,False,-1.6092431085971262,True,Overcapacity reduction: -1.6 units (excess: 1.6)
S01017,SPU_针织衫_0017,针织衫,transition,4,13.140441247373728,11.046631436749951,INELIGIBLE,2.0938098106237764,True,2.0938098106237764,5.2561764989494915,2.0938098106237764,False,False,False,True,ELIGIBLE: No prior increases,False,-2.0938098106237764,True,Overcapacity reduction: -2.1 units (excess: 2.1)
S01020,SPU_短袖_0020,短袖,summer,3,6.110669776011355,3.878813133611334,ELIGIBLE,2.2318566424000212,True,2.2318566424000212,2.4442679104045424,2.2318566424000212,False,False,False,True,ELIGIBLE: No prior increases,False,-2.2318566424000212,True,Overcapacity reduction: -2.2 units (excess: 2.2)
S01025,SPU_锥形裤_0025,锥形裤,core,1,15.65994334528681,11.459961425792423,ELIGIBLE,4.1999819194943875,True,4.1999819194943875,3.131988669057362,3.131988669057362,False,False,False,True,ELIGIBLE: No prior increases,True,-3.131988669057362,True,Overcapacity reduction: -3.1 units (excess: 4.2)
S01027,SPU_棉服_0027,棉服,winter,4,18.613497108891394,13.459696670773464,INELIGIBLE,5.15380043811793,True,5.15380043811793,7.445398843556558,5.15380043811793,False,False,False,True,ELIGIBLE: No prior increases,False,-5.15380043811793,True,Overcapacity reduction: -5.2 units (excess: 5.2)
S01034,SPU_内衣_0034,内衣,all_season,3,11.261165047231685,7.161646133836507,ELIGIBLE,4.099518913395178,True,4.099518913395178,4.504466018892674,4.099518913395178,False,False,False,True,ELIGIBLE: No prior increases,False,-4.099518913395178,True,Overcapacity reduction: -4.1 units (excess: 4.1)
S01035,SPU_配饰_0035,配饰,all_season,4,8.661882833716612,5.765602711675384,ELIGIBLE,2.8962801220412286,True,2.8962801220412286,3.4647531334866453,2.8962801220412286,False,False,False,True,ELIGIBLE: No prior increases,False,-2.8962801220412286,True,Overcapacity reduction: -2.9 units (excess: 2.9)
S01036,SPU_直筒裤_0036,直筒裤,core,1,11.057542565870612,7.476829688835269,ELIGIBLE,3.580712877035343,True,3.580712877035343,2.2115085131741226,2.2115085131741226,False,False,False,True,ELIGIBLE: No prior increases,True,-2.2115085131741226,True,Overcapacity reduction: -2.2 units (excess: 3.6)
S01039,SPU_羽绒服_0039,羽绒服,winter,4,5.77218126874984,5.036111361456263,INELIGIBLE,0.7360699072935768,True,0.7360699072935768,2.308872507499936,0.7360699072935768,False,False,False,True,ELIGIBLE: No prior increases,False,-0.7360699072935768,True,Overcapacity reduction: -0.7 units (excess: 0.7)
S01041,SPU_毛呢大_0041,毛呢大衣,winter,4,6.212799894990729,4.179027308724724,INELIGIBLE,2.0337725862660054,True,2.0337725862660054,2.4851199579962917,2.0337725862660054,False,False,False,True,ELIGIBLE: No prior increases,False,-2.0337725862660054,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01045,SPU_短裤_0045,短裤,summer,3,17.14251569209573,10.780121826146337,ELIGIBLE,6.362393865949395,True,6.362393865949395,6.857006276838293,6.362393865949395,False,False,False,True,ELIGIBLE: No prior increases,False,-6.362393865949395,True,Overcapacity reduction: -6.4 units (excess: 6.4)
S01046,SPU_短袖_0046,短袖,summer,1,15.364066071536989,13.53603407436458,ELIGIBLE,1.8280319971724097,True,1.8280319971724097,6.145626428614796,1.8280319971724097,False,False,False,True,ELIGIBLE: No prior increases,False,-1.8280319971724097,True,Overcapacity reduction: -1.8 units (excess: 1.8)
S01052,SPU_羽绒服_0052,羽绒服,winter,1,14.630474692314316,9.487696258722355,INELIGIBLE,5.14277843359196,True,5.14277843359196,5.852189876925727,5.14277843359196,False,False,False,True,ELIGIBLE: No prior increases,False,-5.14277843359196,True,Overcapacity reduction: -5.1 units (excess: 5.1)
S01053,SPU_棉服_0053,棉服,winter,4,13.71029932154682,12.0930328624158,INELIGIBLE,1.6172664591310202,True,1.6172664591310202,5.484119728618729,1.6172664591310202,False,False,False,True,ELIGIBLE: No prior increases,False,-1.6172664591310202,True,Overcapacity reduction: -1.6 units (excess: 1.6)
S01054,SPU_毛呢大_0054,毛呢大衣,winter,1,5.07592375769328,3.8811535180444428,INELIGIBLE,1.1947702396488373,True,1.1947702396488373,2.030369503077312,1.1947702396488373,False,False,False,True,ELIGIBLE: No prior increases,False,-1.1947702396488373,True,Overcapacity reduction: -1.2 units (excess: 1.2)
S01055,SPU_夹克_0055,夹克,transition,3,14.779418892539008,12.025329847180652,INELIGIBLE,2.7540890453583557,True,2.7540890453583557,5.911767557015604,2.7540890453583557,False,False,False,True,ELIGIBLE: No prior increases,False,-2.7540890453583557,True,Overcapacity reduction: -2.8 units (excess: 2.8)
S01056,SPU_针织衫_0056,针织衫,transition,1,12.40840572775152,8.80923144634894,INELIGIBLE,3.599174281402579,True,3.599174281402579,4.963362291100609,3.599174281402579,False,False,False,True,ELIGIBLE: No prior increases,False,-3.599174281402579,True,Overcapacity reduction: -3.6 units (excess: 3.6)
S01058,SPU_短裤_0058,短裤,summer,3,14.544989272788431,11.30089310870268,ELIGIBLE,3.244096164085752,True,3.244096164085752,5.8179957091153724,3.244096164085752,False,False,False,True,ELIGIBLE: No prior increases,False,-3.244096164085752,True,Overcapacity reduction: -3.2 units (excess: 3.2)
S01065,SPU_羽绒服_0065,羽绒服,winter,1,6.130193840091923,4.029212792204188,INELIGIBLE,2.1009810478877355,True,2.1009810478877355,2.4520775360367697,2.1009810478877355,False,False,False,True,ELIGIBLE: No prior increases,False,-2.1009810478877355,True,Overcapacity reduction: -2.1 units (excess: 2.1)
S01066,SPU_棉服_0066,棉服,winter,1,9.753830077344166,7.481581516667338,INELIGIBLE,2.272248560676828,True,2.272248560676828,3.901532030937666,2.272248560676828,False,False,False,True,ELIGIBLE: No prior increases,False,-2.272248560676828,True,Overcapacity reduction: -2.3 units (excess: 2.3)
S01067,SPU_毛呢大_0067,毛呢大衣,winter,2,18.95025252216248,12.557870249922717,INELIGIBLE,6.392382272239763,True,6.392382272239763,7.580101008864992,6.392382272239763,False,False,False,True,ELIGIBLE: No prior increases,False,-6.392382272239763,True,Overcapacity reduction: -6.4 units (excess: 6.4)
S01068,SPU_夹克_0068,夹克,transition,2,8.812454736046082,6.14021204460657,INELIGIBLE,2.6722426914395117,True,2.6722426914395117,3.524981894418433,2.6722426914395117,False,False,False,True,ELIGIBLE: No prior increases,False,-2.6722426914395117,True,Overcapacity reduction: -2.7 units (excess: 2.7)
S01071,SPU_短裤_0071,短裤,summer,5,6.223912706003605,4.906735631770418,ELIGIBLE,1.3171770742331876,True,1.3171770742331876,2.4895650824014424,1.3171770742331876,False,False,False,True,ELIGIBLE: No prior increases,False,-1.3171770742331876,True,Overcapacity reduction: -1.3 units (excess: 1.3)
S01073,SPU_内衣_0073,内衣,all_season,4,18.299257234259898,14.157393628588677,ELIGIBLE,4.141863605671221,True,4.141863605671221,7.319702893703959,4.141863605671221,False,False,False,True,ELIGIBLE: No prior increases,False,-4.141863605671221,True,Overcapacity reduction: -4.1 units (excess: 4.1)
S01080,SPU_毛呢大_0080,毛呢大衣,winter,3,11.584571310584542,7.038846034812535,INELIGIBLE,4.545725275772007,True,4.545725275772007,4.633828524233817,4.545725275772007,False,False,False,True,ELIGIBLE: No prior increases,False,-4.545725275772007,True,Overcapacity reduction: -4.5 units (excess: 4.5)
S01082,SPU_针织衫_0082,针织衫,transition,1,7.599414801062687,5.130158755889466,INELIGIBLE,2.4692560451732204,True,2.4692560451732204,3.039765920425075,2.4692560451732204,False,False,False,True,ELIGIBLE: No prior increases,False,-2.4692560451732204,True,Overcapacity reduction: -2.5 units (excess: 2.5)
S01085,SPU_短袖_0085,短袖,summer,3,16.367691656965537,10.390567351067427,ELIGIBLE,5.97712430589811,True,5.97712430589811,6.547076662786215,5.97712430589811,False,False,False,True,ELIGIBLE: No prior increases,False,-5.97712430589811,True,Overcapacity reduction: -6.0 units (excess: 6.0)
S01087,SPU_配饰_0087,配饰,all_season,5,12.112607436309878,9.053989493210366,ELIGIBLE,3.0586179430995113,True,3.0586179430995113,4.845042974523952,3.0586179430995113,False,False,False,True,ELIGIBLE: No prior increases,False,-3.0586179430995113,True,Overcapacity reduction: -3.1 units (excess: 3.1)
S01095,SPU_针织衫_0095,针织衫,transition,2,8.10026539815118,5.381627885248747,INELIGIBLE,2.7186375129024327,True,2.7186375129024327,3.2401061592604723,2.7186375129024327,False,False,False,True,ELIGIBLE: No prior increases,False,-2.7186375129024327,True,Overcapacity reduction: -2.7 units (excess: 2.7)
S01015,SPU_束脚裤_0115,束脚裤,core,1,18.20539952957625,15.880717690112895,ELIGIBLE,2.3246818394633557,True,2.3246818394633557,3.6410799059152503,2.3246818394633557,False,False,False,True,ELIGIBLE: No prior increases,True,-2.3246818394633557,True,Overcapacity reduction: -2.3 units (excess: 2.3)
S01021,SPU_针织衫_0121,针织衫,transition,1,10.623058692855562,9.141989071509279,INELIGIBLE,1.4810696213462826,True,1.4810696213462826,4.249223477142225,1.4810696213462826,False,False,False,True,ELIGIBLE: No prior increases,False,-1.4810696213462826,True,Overcapacity reduction: -1.5 units (excess: 1.5)
S01022,SPU_T恤_0122,T恤,summer,5,19.44833809160917,17.327762253876518,ELIGIBLE,2.120575837732652,True,2.120575837732652,7.779335236643668,2.120575837732652,False,False,False,True,ELIGIBLE: No prior increases,False,-2.120575837732652,True,Overcapacity reduction: -2.1 units (excess: 2.1)
S01025,SPU_内衣_0125,内衣,all_season,2,7.493231478638794,5.157952281001015,ELIGIBLE,2.335279197637779,True,2.335279197637779,2.9972925914555177,2.335279197637779,False,False,False,True,ELIGIBLE: No prior increases,False,-2.335279197637779,True,Overcapacity reduction: -2.3 units (excess: 2.3)
S01028,SPU_束脚裤_0128,束脚裤,core,4,6.601340989038266,4.29683906480352,ELIGIBLE,2.3045019242347458,True,2.3045019242347458,1.3202681978076534,1.3202681978076534,False,False,False,True,ELIGIBLE: No prior increases,True,-1.3202681978076534,True,Overcapacity reduction: -1.3 units (excess: 2.3)
S01030,SPU_羽绒服_0130,羽绒服,winter,4,10.405176428079024,7.657921149547192,INELIGIBLE,2.7472552785318314,True,2.7472552785318314,4.1620705712316095,2.7472552785318314,False,False,False,True,ELIGIBLE: No prior increases,False,-2.7472552785318314,True,Overcapacity reduction: -2.7 units (excess: 2.7)
S01032,SPU_毛呢大_0132,毛呢大衣,winter,5,6.9977768783562455,6.173155688999589,INELIGIBLE,0.8246211893566562,True,0.8246211893566562,2.799110751342498,0.8246211893566562,False,False,False,True,ELIGIBLE: No prior increases,False,-0.8246211893566562,True,Overcapacity reduction: -0.8 units (excess: 0.8)
S01034,SPU_针织衫_0134,针织衫,transition,2,13.27381808816105,9.601968534510526,INELIGIBLE,3.6718495536505245,True,3.6718495536505245,5.3095272352644205,3.6718495536505245,False,False,False,True,ELIGIBLE: No prior increases,False,-3.6718495536505245,True,Overcapacity reduction: -3.7 units (excess: 3.7)
S01040,SPU_直筒裤_0140,直筒裤,core,5,16.35621803063684,10.996701642820998,ELIGIBLE,5.359516387815841,True,5.359516387815841,3.271243606127368,3.271243606127368,False,False,False,True,ELIGIBLE: No prior increases,True,-3.271243606127368,True,Overcapacity reduction: -3.3 units (excess: 5.4)
S01045,SPU_毛呢大_0145,毛呢大衣,winter,3,11.052242993185956,6.726779735694345,INELIGIBLE,4.325463257491611,True,4.325463257491611,4.420897197274383,4.325463257491611,False,False,False,True,ELIGIBLE: No prior increases,False,-4.325463257491611,True,Overcapacity reduction: -4.3 units (excess: 4.3)
S01052,SPU_配饰_0152,配饰,all_season,2,14.31208526633137,9.48518047391813,ELIGIBLE,4.82690479241324,True,4.82690479241324,5.724834106532548,4.82690479241324,False,False,False,True,ELIGIBLE: No prior increases,False,-4.82690479241324,True,Overcapacity reduction: -4.8 units (excess: 4.8)
S01056,SPU_羽绒服_0156,羽绒服,winter,2,14.029030933114402,11.87609643931901,INELIGIBLE,2.1529344937953923,True,2.1529344937953923,5.6116123732457615,2.1529344937953923,False,False,False,True,ELIGIBLE: No prior increases,False,-2.1529344937953923,True,Overcapacity reduction: -2.2 units (excess: 2.2)
S01057,SPU_棉服_0157,棉服,winter,2,9.178855085479379,5.751569362208884,INELIGIBLE,3.4272857232704945,True,3.4272857232704945,3.6715420341917517,3.4272857232704945,False,False,False,True,ELIGIBLE: No prior increases,False,-3.4272857232704945,True,Overcapacity reduction: -3.4 units (excess: 3.4)
S01058,SPU_毛呢大_0158,毛呢大衣,winter,1,13.016352555987845,11.301645680243858,INELIGIBLE,1.7147068757439872,True,1.7147068757439872,5.206541022395139,1.7147068757439872,False,False,False,True,ELIGIBLE: No prior increases,False,-1.7147068757439872,True,Overcapacity reduction: -1.7 units (excess: 1.7)
S01061,SPU_T恤_0161,T恤,summer,3,18.813086007977198,12.850528507270257,ELIGIBLE,5.962557500706941,True,5.962557500706941,7.525234403190879,5.962557500706941,False,False,False,True,ELIGIBLE: No prior increases,False,-5.962557500706941,True,Overcapacity reduction: -6.0 units (excess: 6.0)
S01065,SPU_配饰_0165,配饰,all_season,3,12.981702278979736,9.531473609998569,ELIGIBLE,3.4502286689811665,True,3.4502286689811665,5.192680911591895,3.4502286689811665,False,False,False,True,ELIGIBLE: No prior increases,False,-3.4502286689811665,True,Overcapacity reduction: -3.5 units (excess: 3.5)
S01066,SPU_直筒裤_0166,直筒裤,core,3,10.957457487561237,8.99850035160055,ELIGIBLE,1.9589571359606879,True,1.9589571359606879,2.1914914975122475,1.9589571359606879,False,False,False,True,ELIGIBLE: No prior increases,True,-1.9589571359606879,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01067,SPU_束脚裤_0167,束脚裤,core,4,5.3010679666658955,3.516910856950956,ELIGIBLE,1.7841571097149393,True,1.7841571097149393,1.060213593333179,1.060213593333179,False,False,False,True,ELIGIBLE: No prior increases,True,-1.060213593333179,True,Overcapacity reduction: -1.1 units (excess: 1.8)
S01068,SPU_锥形裤_0168,锥形裤,core,2,13.030033460232852,9.158524630927248,ELIGIBLE,3.871508829305604,True,3.871508829305604,2.6060066920465705,2.6060066920465705,False,False,False,True,ELIGIBLE: No prior increases,True,-2.6060066920465705,True,Overcapacity reduction: -2.6 units (excess: 3.9)
S01071,SPU_毛呢大_0171,毛呢大衣,winter,1,13.466878137839618,9.44343349962965,INELIGIBLE,4.023444638209968,True,4.023444638209968,5.386751255135848,4.023444638209968,False,False,False,True,ELIGIBLE: No prior increases,False,-4.023444638209968,True,Overcapacity reduction: -4.0 units (excess: 4.0)
S01074,SPU_T恤_0174,T恤,summer,5,7.2928870877649805,4.727281586345676,ELIGIBLE,2.565605501419305,True,2.565605501419305,2.9171548351059924,2.565605501419305,False,False,False,True,ELIGIBLE: No prior increases,False,-2.565605501419305,True,Overcapacity reduction: -2.6 units (excess: 2.6)
S01082,SPU_羽绒服_0182,羽绒服,winter,1,14.159300636624488,10.964558397560596,INELIGIBLE,3.194742239063892,True,3.194742239063892,5.663720254649796,3.194742239063892,False,False,False,True,ELIGIBLE: No prior increases,False,-3.194742239063892,True,Overcapacity reduction: -3.2 units (excess: 3.2)
S01083,SPU_棉服_0183,棉服,winter,3,18.980215133854013,14.769737767114968,INELIGIBLE,4.210477366739045,True,4.210477366739045,7.592086053541606,4.210477366739045,False,False,False,True,ELIGIBLE: No prior increases,False,-4.210477366739045,True,Overcapacity reduction: -4.2 units (excess: 4.2)
S01086,SPU_针织衫_0186,针织衫,transition,5,5.040663491214945,3.7399195732047095,INELIGIBLE,1.3007439180102351,True,1.3007439180102351,2.016265396485978,1.3007439180102351,False,False,False,True,ELIGIBLE: No prior increases,False,-1.3007439180102351,True,Overcapacity reduction: -1.3 units (excess: 1.3)
S01089,SPU_短袖_0189,短袖,summer,2,7.718495992484902,6.34719862393888,ELIGIBLE,1.3712973685460224,True,1.3712973685460224,3.087398396993961,1.3712973685460224,False,False,False,True,ELIGIBLE: No prior increases,False,-1.3712973685460224,True,Overcapacity reduction: -1.4 units (excess: 1.4)
S01097,SPU_毛呢大_0197,毛呢大衣,winter,3,14.415620796071268,9.251680493742244,INELIGIBLE,5.163940302329024,True,5.163940302329024,5.766248318428508,5.163940302329024,False,False,False,True,ELIGIBLE: No prior increases,False,-5.163940302329024,True,Overcapacity reduction: -5.2 units (excess: 5.2)
S01099,SPU_针织衫_0199,针织衫,transition,5,7.275123195991267,4.907410649099601,INELIGIBLE,2.367712546891666,True,2.367712546891666,2.910049278396507,2.367712546891666,False,False,False,True,ELIGIBLE: No prior increases,False,-2.367712546891666,True,Overcapacity reduction: -2.4 units (excess: 2.4)
S01001,SPU_短裤_0201,短裤,summer,3,16.31952937790175,12.418254579615832,ELIGIBLE,3.9012747982859164,True,3.9012747982859164,6.5278117511607,3.9012747982859164,False,False,False,True,ELIGIBLE: No prior increases,False,-3.9012747982859164,True,Overcapacity reduction: -3.9 units (excess: 3.9)
S01007,SPU_锥形裤_0207,锥形裤,core,2,14.171813531519717,12.21096134309281,ELIGIBLE,1.960852188426907,True,1.960852188426907,2.834362706303944,1.960852188426907,False,False,False,True,ELIGIBLE: No prior increases,True,-1.960852188426907,True,Overcapacity reduction: -2.0 units (excess: 2.0)
S01009,SPU_棉服_0209,棉服,winter,5,15.60857951470098,12.06366051673869,INELIGIBLE,3.5449189979622897,True,3.5449189979622897,6.243431805880392,3.5449189979622897,False,False,False,True,ELIGIBLE: No prior increases,False,-3.5449189979622897,True,Overcapacity reduction: -3.5 units (excess: 3.5)
S01010,SPU_毛呢大_0210,毛呢大衣,winter,2,6.033823090508282,3.808996179568621,INELIGIBLE,2.224826910939661,True,2.224826910939661,2.413529236203313,2.224826910939661,False,False,False,True,ELIGIBLE: No prior increases,False,-2.224826910939661,True,Overcapacity reduction: -2.2 units (excess: 2.2)
S01012,SPU_针织衫_0212,针织衫,transition,5,7.482807655509347,6.369719339515531,INELIGIBLE,1.1130883159938154,True,1.1130883159938154,2.993123062203739,1.1130883159938154,False,False,False,True,ELIGIBLE: No prior increases,False,-1.1130883159938154,True,Overcapacity reduction: -1.1 units (excess: 1.1)
S01015,SPU_短袖_0215,短袖,summer,1,5.069480345069043,3.6472407168957575,ELIGIBLE,1.4222396281732856,True,1.4222396281732856,2.027792138027617,1.4222396281732856,False,False,False,True,ELIGIBLE: No prior increases,False,-1.4222396281732856,True,Overcapacity reduction: -1.4 units (excess: 1.4)
